Name,Activity_Center_Index
Acworth,95
Adamsville,21
Alpharetta,84
Atlanta,99
Auburn,47
Austell,83
Avondale Estates,52
Ball Ground,52
Berkeley Lake,52
Bethlehem,0
Bowton,0
Braselton,42
Braswell,0
Bremen,0
Brookhaven,63
Brooks,33
Buford,76
Canton,88
Carl,0
Carrolton,47
Cartersville,59
Chamblee,79
Chattahoochee Hills,33
Clarkston,56
Clemont,0
College Park,59
Conyers,84
Covington,73
Cumming,76
Dacula,47
Dallas,44
Dawsonville,33
Decatur,94
Doraville,67
Douglasville,76
Duluth,87
Dunwoody,26
East Point,73
Ellenwood,0
Emerson,42
Euharlee,0
Fairburn,44
Fairmount,0
Fayetteville,79
Flowery Branch,47
Forest Park,59
Gainesville,98
Gillsville ,0
Grantville,44
Grayson,26
Griffin,73
Hampton,70
Hapeville,82
Haralson,0
Hiram,33
Holly Springs,63
Jackson,0
Johns Creek,21
Jonesboro,63
Kennesaw,84
Kingston,0
Lake City,38
Lawrenceville,52
Lilburn,67
Lithonia,76
Locust Grove,21
Loganville,33
Lovejoy,26
Lula,26
Mableton,26
Mansfield,21
Marietta,96
McDonough,72
Milton,33
Monroe,38
Moreland,0
Morrow,56
Mountain Park,0
Nelson,0
Newnan,97
Norcross,84
Oakwood,0
Orchard Hill,0
Oxford,26
Palmetto,52
Peachtree City,94
Peachtree Corners,0
Pine Lake,44
Pine Mountain,47
Porterdale,26
Powder Springs,89
Rex,0
Riverdale,42
Roswell,90
Rutledge,0
Sandy springs,93
Sargent,21
Senoia,81
Sharpsburg,38
Smyrna,90
Snellville,63
Social Circle,38
Statham,26
Stockbridge,89
Stone Mountain,67
Sugar Hill,63
Sunnyside,0
Suwanee,75
Temple,0
Tucker,59
Tyrone,56
Union City,56
Villa Rica,69
Waleska,21
Walnut Grove,0
Whitesburg,21
Winder,70
Woodstock,90
Buckhead,80
Druid Hills,79
East Atlanta,68
Hoschton,18
Kirkwood,62
Midtown,93
Old Fourth Ward,88
Virginia Highlands,90
