Name,Crime_Index
Abbeville,94
Acworth,90
Adairsville,92
Adel,67
Alamo,97
Alapaha,93
Albany,48
Alma,64
Alpharetta,96
Alto,99
Aragon,93
Arcade,85
Arlington,56
Ashburn,64
Athens-Clarke County,79
Atlanta,57
Attapulgus,99
Auburn,92
Avondale Estates,90
Bainbridge,81
Baldwin,88
Ball Ground,99
Barnesville,81
Baxley,51
Berlin,100
Blackshear,50
Blairsville,89
Blakely,66
Bloomingdale,98
Blue Ridge,67
Blythe,93
Bowdon,89
Braselton,95
Braswell,100
Bremen,82
Brookhaven,83
Brooklet,95
Brunswick,52
Buchanan,94
Buena Vista,89
Butler,91
Byron,93
Cairo,82
Calhoun,83
Camilla,87
Canon,100
Canton,87
Carrollton,73
Cartersville,80
Cave Spring,70
Cedartown,79
Centerville,80
Chamblee,77
Chattahoochee Hills,95
Clarkesville,64
Clarkston,71
Claxton,84
Clayton,89
Cleveland,75
Cochran,78
College Park,33
Columbus,69
Commerce,77
Conyers,66
Coolidge,92
Cordele,76
Cornelia,84
Covington,73
Cumming,86
Cuthbert,99
Dallas,92
Dalton,84
Danielsville,98
Darien,93
Davisboro,100
Dawson,74
Decatur,90
Demorest,97
Dillard,100
Doerun,100
Donalsonville,81
Doraville,70
Douglasville,64
Dublin,69
Duluth,93
Dunwoody,90
East Ellijay,63
Eastman,61
East Point,34
Eatonton,72
Elberton,72
Ellaville,93
Ellijay,82
Emerson,69
Enigma,89
Ephesus,100
Eton,98
Fairburn,80
Fairmount,99
Fayetteville,89
Fitzgerald,69
Flowery Branch,97
Folkston,85
Forest Park,67
Forsyth,72
Fort Oglethorpe,70
Fort Valley,55
Franklin,91
Franklin Springs,92
Gainesville,80
Garden City3,30
Glennville,95
Gordon,87
Graham,100
Grantville,93
Greenville,86
Griffin,42
Grovetown,93
Guyton,83
Hagan,96
Hampton,90
Hapeville,56
Harlem,99
Hartwell,76
Hazlehurst,89
Helen,48
Hephzibah,98
Hiawassee,78
Hiram,84
Hoboken,100
Hogansville,83
Holly Springs,93
Homeland,100
Homerville,61
Irwinton,100
Ivey,100
Jackson,85
Jasper,89
Jefferson,91
Jesup,75
Johns Creek,89
Jonesboro,79
Kennesaw,84
Kingsland,84
Kingston,100
LaGrange,59
Lake City,76
Lakeland,64
Lake Park,94
Lavonia,45
Lawrenceville,75
Leary,100
Leslie,100
Lilburn,81
Lithonia,75
Locust Grove,89
Loganville,90
Lookout Mountain,100
Louisville,78
Ludowici,89
Lumber City,100
Lumpkin,100
Lyons,72
Madison,82
Manchester,81
Marietta,48
Marshallville,97
Maysville,96
McDonough,76
McIntyre,93
McRae-Helena,92
Metter,78
Midville,100
Midway,88
Milledgeville,77
Millen,52
Milton,94
Molena,90
Monroe,57
Montezuma,69
Morrow,70
Moultrie,66
Mountain City,100
Mount Airy,100
Mount Zion,89
Nahunta,89
Nashville,82
Newnan,59
Norcross,72
Norman Park,96
Oak Park,91
Ocilla,83
Oglethorpe,69
Omega,86
Oxford,99
Palmetto,87
Patterson,100
Peachtree City,88
Pelham,89
Pembroke,93
Pine Lake,95
Pine Mountain,79
Plains,89
Pooler,81
Porterdale,86
Port Wentworth,87
Powder Springs,82
Quitman,49
Remerton,56
Reynolds,100
Rincon,89
Ringgold,82
Riverdale,60
Rochelle,92
Rockmart,66
Rome,52
Roswell,68
Sale City,100
Sandersville,78
Sandy Springs,56
Sardis,75
Savannah-Chatham Metropolitan,-60
Screven,84
Senoia,99
Shiloh,100
Smyrna,62
Snellville,80
Social Circle,93
Sparks,82
Sparta,71
Springfield,95
Statesboro,68
Stone Mountain,67
Summerville,99
Suwanee,85
Swainsboro,55
Sylvania,92
Talbotton,95
Tallapoosa,88
Temple,88
Tennille,85
Thomasville,77
Thunderbolt,96
Tifton,34
Toccoa,73
Trenton,97
Tunnel Hill,100
Tybee Island,92
Tyrone,93
Union City,11
Valdosta,25
Vidalia,64
Vienna,87
Villa Rica,73
Warner Robins,10
Warrenton,77
Warwick,100
Watkinsville,95
Waverly Hall,95
Waynesboro,61
West Point,64
Whitesburg,80
Willacoochee,94
Winder,57
Winterville,93
Woodland,100
Woodstock,86
Wrens,73
Buckhead,87
Buford,79
Dacula,74
Druid Hills,63
East Atlanta,46
Hoschton,77
Kirkwood,32
Lovejoy,90
Midtown,57
Old Fourth Ward,60
Rex,76
Virginia Highlands,55
