Name,Fire_Station_Proximity_Index
Acworth,1
Alpharetta,98
Atlanta,37
Atlantic Station,1
Ball Ground,49
Brookhaven,1
Brooks town,1
Buckhead,27
Buford,49
Canton,86
College Park,95
Conyers,81
Dacula,49
Decatur,37
Doraville,27
Douglasville,83
Downtown,27
Druid Hills,1
Duluth,73
East Atlanta,60
Fairburn,83
Fayetteville,91
Forest Park,37
Holly Springs,1
Hoschton,1
Johns Creek,37
Kennesaw,78
Kirkwood,1
Lake City,49
Lawrenceville,49
Lilburn,60
Lithia Springs,1
Lithonia,1
Locust Grove,1
Lovejoy,78
Marietta,96
Mcdonough,73
Midtown,1
Norcross,27
North Druid Hills,27
Old Fourth Ward,27
Panthersville,37
Peachtree City,60
Powder Springs,60
Redan,37
Riverdale,60
Sandy Springs,93
Scottdale,60
Smyrna,86
Snellville,60
South Atlanta,37
Southside,49
Southwest,73
Stockbridge,60
Villa Rica,1
Virginia Highlands,1
Waleska,49
Westside,86
Winston,1
Woodstock,1
