Name,Government_Building_Accessibility_Index
Lithonia,35
Westside,56
Alpharetta,96
Braselton town,1
Conley CDP,1
Smyrna,86
Scottdale,73
Dunwoody,30
Brooks town,1
Kennesaw,81
Peachtree City,81
Forest Park,30
Decatur,77
Douglasville,54
Fairburn,81
Lilburn,62
Hoschton,1
Marietta,98
Powder Springs,66
Midtown,1
Pine Lake,1
Doraville,66
Brookhaven,1
Virginia Highlands,1
Sandy Springs,94
Lawrenceville,86
South Atlanta,1
Riverdale,69
Southwest,37
Southside,1
Panthersville,1
Buford,75
Norcross,37
Lovejoy,56
Kirkwood,1
Downtown,64
Rex,1
College Park,92
Lake City,37
Johns Creek,37
North Druid Hills,1
Fayetteville,90
Duluth,69
Snellville,77
Druid Hills,37
Dacula,37
Auburn,30
Buckhead,37
Old Fourth Ward,37
Atlantic Station,1
Redan,56
East Atlanta,37
