Name,Healthcare_Proximity_Index
Alpharetta,73
Brookhaven,34
Buckhead,37
Buford,2
College Park,2
Columbus,2
Cumberland,34
Cumming,68
Decatur,18
Doraville,18
Druid Hills,29
Duluth,49
Dunwoody,2
Gainesville,2
Holly Springs,34
Johns Creek,95
Kennesaw,34
Lake City,56
Lawrenceville,45
Marietta,55
McDonough,34
Norcross,47
Sandy Springs,39
Smyrna,80
Snellville,80
East Atlanta,32
Kirkwood,21
Midtown,62
Old Fourth Ward,61
Rex,5
Virginia Highlands,59
Auburn,50
Dacula,47
Douglasville,36
Fairburn,51
Fayetteville,37
Forest Park,54
Hoschton,82
Lilburn,50
Lithonia,17
Lovejoy,28
Peachtree City,34
Pine Lake,25
Powder Springs,31
Riverdale,46
