Name,Resturant_Index
Alpharetta,59
Buford,49
Covington,34
Cumming,84
Doraville,2
Downtown,98
Duluth,63
Dunwoody,2
Jefferson,77
Johns Creek,94
Kennesaw,20
Lawrenceville,21
Lilburn,60
Newnan,2
Norcross,36
Druid Hills,67
Peachtree City,34
Sandy Springs,39
Smyrna,25
Snellville,34
Westside,34
Auburn,26
Brookhaven,75
Buckhead,96
College Park,64
Dacula,30
Decatur,83
Douglasville,55
East Atlanta,76
Fairburn,58
Fayetteville,60
Forest Park,52
Hoschton,43
Kirkwood,65
Lake City,58
Lithonia,31
Lovejoy,8
Marietta,99
Midtown,99
Old Fourth Ward,87
Pine Lake,50
Powder Springs,34
Rex,2
Riverdale,41
Virginia Highlands,86
